text,modality,is_scam,severity,clean_text
DTDC: Delivery attempt fail. Reschedule: https://tinyurl.com/Sch1vZ7,sms,0,1,dtdc: delivery attempt fail. reschedule: URL
Address incomplete. Reschedule delivery: https://t.co/pvs9lRV,sms,1,3,address incomplete. reschedule delivery: URL
Earn ₹100000/day. Join VIP group using https://bit.ly/kgBZy9V,sms,1,3,earn ₹ OTP /day. join vip group using URL
Double money in 30 days. Join investment group: https://track-parcel.in/v56hqa5bxc,sms,1,3,double money in 30 days. join investment group: URL
You are under 'digital arrest'. Stay on line and transfer ₹349 to verify innocence.,sms,1,5,you are under 'digital arrest'. stay on line and transfer ₹349 to verify innocence.
FedEx: Parcel held at customs. Pay clearance ₹299 at https://track-parcel.in/60xdclthxq within 30 minutes.,sms,1,4,fedex: parcel held at customs. pay clearance ₹299 at URL within 30 minutes.
Instant loan. Confirm OTP to proceed.,sms,1,4,instant loan. confirm otp to proceed.
Refund pending. Confirm bank details at https://verify-now.co/wgx4282h7a,sms,1,3,refund pending. confirm bank details at URL
"Quikr: Buyer sent payment. To receive ₹499, share OTP.",sms,1,4,"quikr: buyer sent payment. to receive ₹499, share otp."
"Hi, I’ll reach by 7:00 PM. See you soon.",sms,0,1,"hi, i’ll reach by 7:00 pm. see you soon."
"To accept payment, scan QR from https://t.co/Vx5jPrv and approve collect request.",sms,1,4,"to accept payment, scan qr from URL and approve collect request."
Court notice: Settlement required today. Call +91-95488-37668 immediately.,sms,1,5,court notice: settlement required today. call +91- OTP - OTP immediately.
"Hi Mom, new number. Emergency. Send ₹9900 to UPI fzfvji@okhdfc. Don't call.",sms,1,5,"hi mom, new number. emergency. send ₹ OTP to upi fzfvji@okhdfc. don't call."
"URGENT: Your Amazon password was changed. If not you, reset at https://airtel.in/i021vwsy89",sms,0,1,"urgent: your amazon password was changed. if not you, reset at URL"
Congrats! You won ₹100000 in Festival Lucky Draw. Claim: Call karo +91-99193-53748 Ref 0YBMHY. Jaldi karo.,sms,1,3,congrats! you won ₹ OTP in festival lucky draw. claim: call karo +91- OTP - OTP ref 0ybmhy. jaldi karo.
Delhivery: Out for delivery today. Track: https://airtel.in/4192ie6d28,sms,0,1,delhivery: out for delivery today. track: URL
Your SIM re-verification failed. Share OTP to re-activate.,sms,1,4,your sim re-verification failed. share otp to re-activate.
Congrats! You won ₹2500 in KBC. Claim: Call +91-79106-31737 Ref U9ZW74.,sms,1,3,congrats! you won ₹ OTP in kbc. claim: call +91- OTP - OTP ref u9zw74.
"Hi Mom, new number. Emergency. Send ₹200000 to UPI dqpmhy@oksbi. Don't call.",sms,1,5,"hi mom, new number. emergency. send ₹ OTP to upi dqpmhy@oksbi. don't call."
It's me. Network issue. Please transfer now. ytvwsl@okicici,sms,1,4,it's me. network issue. please transfer now. ytvwsl@okicici
"OLX: Buyer sent payment. To receive ₹50000, share OTP.",sms,1,4,"olx: buyer sent payment. to receive ₹ OTP , share otp."
"Hi Mom, new number. Emergency. Send ₹9900 to UPI aabppj@oksbi. Don't call.",sms,1,5,"hi mom, new number. emergency. send ₹ OTP to upi aabppj@oksbi. don't call."
"Hi, I’ll reach by 2:30 PM. See you soon.",sms,0,1,"hi, i’ll reach by 2:30 pm. see you soon."
HDFC: Rs.50000 debited from A/C XX8082 on 10-Nov. Avl bal: Rs.45000.,sms,0,1,hdfc: rs. OTP debited from a/c xx8082 on 10-nov. avl bal: rs. OTP .
"Scammer: Jio: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Scammer: BWSSB: electricity bill overdue. Pay now to avoid disconnection: https://bit.ly/Yqbyhjc
Senior: Ok send link.
Scammer: Here: https://bank-kycverify.com/4g41ouuxs6. After update, share OTP.",whatsapp,1,4,"scammer: jio: sim deactivation today due to kyc pending. senior: but my sim is active. scammer: system check. update now. scammer: bwssb: electricity bill overdue. pay now to avoid disconnection: URL senior: ok send link. scammer: here: URL after update, share otp."
"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking YJSFF0. Pay ₹99 via https://cutt.ly/9uJfPlx now, else return.",whatsapp,1,4,"scammer: fedex: your parcel is held at customs. 🙏 senior: i didn't order anything. scammer: it might be a gift. clearance pending. senior: send tracking id and i'll check on official site. scammer: tracking yjsff0. pay ₹99 via URL now, else return."
"Scammer: Microsoft Support: malware detected on your phone. 🙏
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://track-parcel.in/osqoj9qe4s
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",whatsapp,1,4,scammer: microsoft support: malware detected on your phone. 🙏 senior: my phone is working fine. scammer: it will stop soon. install remote assist so i can remove it. scammer: download: URL senior: why should i install? can't you guide me without an app? scammer: no. without remote access we can't fix.
"Scammer: Pre-approved loan ₹200000 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹999 fee.
Scammer: Pay at https://cutt.ly/caaadRL or UPI agkrtr@ibl.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",whatsapp,1,3,scammer: pre-approved loan ₹ OTP ready. no documents. 🙏 senior: i did not apply. scammer: special scheme. activate by paying ₹999 fee. scammer: pay at URL or upi agkrtr@ibl. senior: i'll visit branch. scammer: offer ends today. online only.
"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there.",whatsapp,0,1,"friend: are we meeting at 6 pm? senior: yes, see you at the park. friend: great, i’ll be there."
"Scammer: Apple Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install Remote Assist so I can remove it.
Scammer: Download: https://pay-safe.link/e68qtsm5id
Senior: Ok, installed.
Scammer: Now share the 9-digit code shown on screen.",whatsapp,1,4,"scammer: apple support: malware detected on your phone. senior: my phone is working fine. scammer: it will stop soon. install remote assist so i can remove it. scammer: download: URL senior: ok, installed. scammer: now share the 9-digit code shown on screen."
"Service: Your Netflix subscription renewed. Receipt: CWD3FB
Senior: Thanks.",whatsapp,0,1,service: your netflix subscription renewed. receipt: cwd3fb senior: thanks.
"Scammer: Microsoft Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install AnyDesk so I can remove it.
Scammer: Download: https://verify-now.co/wbfb7nzal6
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",whatsapp,1,4,scammer: microsoft support: malware detected on your phone. senior: my phone is working fine. scammer: it will stop soon. install anydesk so i can remove it. scammer: download: URL senior: why should i install? can't you guide me without an app? scammer: no. without remote access we can't fix.
"Scammer: Vi: SIM deactivation today due to KYC pending. 🙏
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: I will use the official app.
Scammer: No time. Use https://customs-clearance.in/ip2y3gmnrj to update within 2 hours.",whatsapp,1,4,scammer: vi: sim deactivation today due to kyc pending. 🙏 senior: but my sim is active. scammer: system check. update now. senior: i will use the official app. scammer: no time. use URL to update within 2 hours.
"Scammer: Facebook Marketplace buyer here. I'll pay ₹25000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: OTP is for paying, not receiving.
Scammer: No sir, this is for receiving. Trust me.
Scammer: Also scan QR here: https://tinyurl.com/9wmiRox",whatsapp,1,4,"scammer: facebook marketplace buyer here. i'll pay ₹ OTP now. senior: ok. scammer: you will get an otp—tell me to confirm payment. senior: otp is for paying, not receiving. scammer: no sir, this is for receiving. trust me. scammer: also scan qr here: URL"
"Scammer: FedEx: Your parcel is held at customs. 🙏
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking EOVPXZ. Pay ₹49 via https://rebrand.ly/qz5F5jw now, else return.",whatsapp,1,4,"scammer: fedex: your parcel is held at customs. 🙏 senior: i didn't order anything. scammer: it might be a gift. clearance pending. senior: send tracking id and i'll check on official site. scammer: tracking eovpxz. pay ₹49 via URL now, else return."
"Scammer: Hello, Canara KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://customs-clearance.in/cjdfmsxbly.",whatsapp,1,5,"scammer: hello, canara kyc desk here. your account will freeze today. senior: i don't think banks message on whatsapp. scammer: we are on official whatsapp support. quick verification only. senior: ok what should i do? scammer: share otp and pan photo. or verify at URL"
"Scammer: Congratulations! You won ₹50000 in New Year Bonanza! 🙏
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹199 processing fee to UPI ahuuua@okhdfc.",whatsapp,1,4,"scammer: congratulations! you won ₹ OTP in new year bonanza! 🙏 senior: i never participated. scammer: auto-selected from mobile number. scammer: to claim, pay ₹199 processing fee to upi ahuuua@okhdfc."
"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹999/day. Register at https://rebrand.ly/scllBiW.
Senior: No fees, right?
Scammer: Small refundable fee ₹499 for ID verification.",whatsapp,1,3,"scammer: hr: part-time work-from-home job available. 🙏 senior: i'm retired. scammer: easy task. earn ₹999/day. register at URL senior: no fees, right? scammer: small refundable fee ₹499 for id verification."
"Scammer: Hello, Axis KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://t.co/tgaY9MX to stop it.",whatsapp,1,5,"scammer: hello, axis kyc desk here. your account will freeze today. senior: i don't think banks message on whatsapp. scammer: we are on official whatsapp support. quick verification only. senior: i will call the bank from the number on my passbook. scammer: no ma'am, transaction is in process. if delayed, money will be lost. scammer: share otp now or open URL to stop it."
"Scammer: HR: Part-time work-from-home job available.
Senior: I'm retired.
Scammer: Easy task. Earn ₹1500/day. Register at https://tinyurl.com/K6l36nM.
Senior: Ok.
Scammer: Pay ₹999 to UPI ohucgl@ibl.",whatsapp,1,3,scammer: hr: part-time work-from-home job available. senior: i'm retired. scammer: easy task. earn ₹ OTP /day. register at URL senior: ok. scammer: pay ₹999 to upi ohucgl@ibl.
"Scammer: Quikr buyer here. I'll pay ₹200000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: OTP is for paying, not receiving.
Scammer: No sir, this is for receiving. Trust me.
Scammer: Also scan QR here: https://t.co/eGF7ou7",whatsapp,1,4,"scammer: quikr buyer here. i'll pay ₹ OTP now. senior: ok. scammer: you will get an otp—tell me to confirm payment. senior: otp is for paying, not receiving. scammer: no sir, this is for receiving. trust me. scammer: also scan qr here: URL"
"Scammer: Hello, PNB KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://cutt.ly/b7TyhuQ to stop it.",whatsapp,1,5,"scammer: hello, pnb kyc desk here. your account will freeze today. senior: i don't think banks message on whatsapp. scammer: we are on official whatsapp support. quick verification only. senior: i will call the bank from the number on my passbook. scammer: no ma'am, transaction is in process. if delayed, money will be lost. scammer: share otp now or open URL to stop it."
"Service: Your Airtel subscription renewed. Receipt: 22L1E4
Senior: Thanks.",whatsapp,0,1,service: your airtel subscription renewed. receipt: 22l1e4 senior: thanks.
"Scammer: Pre-approved loan ₹5000 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹49 fee.
Scammer: Pay at https://cutt.ly/wwLrYd2 or UPI ueqpzp@ibl.",whatsapp,1,3,scammer: pre-approved loan ₹ OTP ready. no documents. 🙏 senior: i did not apply. scammer: special scheme. activate by paying ₹49 fee. scammer: pay at URL or upi ueqpzp@ibl.
"Service: Your Google Pay subscription renewed. Receipt: XR4K61
Senior: Thanks.",whatsapp,0,1,service: your google pay subscription renewed. receipt: xr4k61 senior: thanks.
"Scammer: Congratulations! You won ₹2500 in New Year Bonanza!
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹149 processing fee to UPI vtdylt@okhdfc.
Senior: Sounds fake. Send official website link.
Scammer: Ok check https://bit.ly/y4aLmBP. Hurry, expires today.",whatsapp,1,4,"scammer: congratulations! you won ₹ OTP in new year bonanza! senior: i never participated. scammer: auto-selected from mobile number. scammer: to claim, pay ₹149 processing fee to upi vtdylt@okhdfc. senior: sounds fake. send official website link. scammer: ok check URL hurry, expires today."
"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there.",whatsapp,0,1,"friend: are we meeting at 6 pm? senior: yes, see you at the park. friend: great, i’ll be there."
"Scammer: Microsoft Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install QuickSupport so I can remove it.
Scammer: Download: https://gpay-help.in/apk33dvosd
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",whatsapp,1,4,scammer: microsoft support: malware detected on your phone. senior: my phone is working fine. scammer: it will stop soon. install quicksupport so i can remove it. scammer: download: URL senior: why should i install? can't you guide me without an app? scammer: no. without remote access we can't fix.
"Scammer: HR: Part-time work-from-home job available.
Senior: I'm retired.
Scammer: Easy task. Earn ₹2500/day. Register at https://tinyurl.com/gzlwnlM.
Senior: No fees, right?
Scammer: Small refundable fee ₹999 for ID verification.",whatsapp,1,3,"scammer: hr: part-time work-from-home job available. senior: i'm retired. scammer: easy task. earn ₹ OTP /day. register at URL senior: no fees, right? scammer: small refundable fee ₹999 for id verification."
"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹25000/day. Register at https://t.co/lIrb6Sk.
Senior: Ok.
Scammer: Pay ₹49 to UPI jabxjz@paytm.",whatsapp,1,3,scammer: hr: part-time work-from-home job available. 🙏 senior: i'm retired. scammer: easy task. earn ₹ OTP /day. register at URL senior: ok. scammer: pay ₹49 to upi jabxjz@paytm.
"Scammer: Namaste, I'm from Income Tax Department. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹9900 (refundable) to UPI stfumv@paytm.
Scammer: If you disconnect, FIR will be filed.",whatsapp,1,5,"scammer: namaste, i'm from income tax department. your number is linked to a cyber fraud case. senior: what? i have done nothing. scammer: we have a complaint under your aadhaar. you must verify now. senior: how do i verify? scammer: stay on call. for verification, transfer ₹ OTP (refundable) to upi stfumv@paytm. scammer: if you disconnect, fir will be filed."
"Scammer: Hi Mom, it's me. New number. Phone lost.
Senior: Which friend are you with?
Scammer: Can't talk. I'm in trouble.
Scammer: Send ₹499 to UPI bfkqir@ibl. Don't call.
Senior: I'll call your old number to confirm.
Scammer: Network issue. Please do it now.",whatsapp,1,5,"scammer: hi mom, it's me. new number. phone lost. senior: which friend are you with? scammer: can't talk. i'm in trouble. scammer: send ₹499 to upi bfkqir@ibl. don't call. senior: i'll call your old number to confirm. scammer: network issue. please do it now."
"Scammer: FedEx: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking F9UFEX. Pay ₹49 via https://rebrand.ly/bx9ZxQb now, else return.",whatsapp,1,4,"scammer: fedex: your parcel is held at customs. senior: i didn't order anything. scammer: it might be a gift. clearance pending. senior: send tracking id and i'll check on official site. scammer: tracking f9ufex. pay ₹49 via URL now, else return."
"Scammer: Namaste, I'm from Police Control Room. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹25000 (refundable) to UPI zjgxkx@ibl.
Scammer: If you disconnect, FIR will be filed.",whatsapp,1,5,"scammer: namaste, i'm from police control room. your number is linked to a cyber fraud case. senior: what? i have done nothing. scammer: we have a complaint under your aadhaar. you must verify now. senior: how do i verify? scammer: stay on call. for verification, transfer ₹ OTP (refundable) to upi zjgxkx@ibl. scammer: if you disconnect, fir will be filed."
"Scammer: Namaste, I'm from Police Control Room. Your number is linked to a cyber fraud case. 🙏
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹499 (refundable) to UPI nlcows@ibl.
Scammer: If you disconnect, FIR will be filed.",whatsapp,1,5,"scammer: namaste, i'm from police control room. your number is linked to a cyber fraud case. 🙏 senior: what? i have done nothing. scammer: we have a complaint under your aadhaar. you must verify now. senior: how do i verify? scammer: stay on call. for verification, transfer ₹499 (refundable) to upi nlcows@ibl. scammer: if you disconnect, fir will be filed."
"Scammer: PhonePe Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install AnyDesk so I can remove it.
Scammer: Download: https://pay-safe.link/ioi4eedepz
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",whatsapp,1,4,scammer: phonepe support: malware detected on your phone. senior: my phone is working fine. scammer: it will stop soon. install anydesk so i can remove it. scammer: download: URL senior: why should i install? can't you guide me without an app? scammer: no. without remote access we can't fix.
"Scammer: Hello, Canara KYC desk here. Your account will freeze today. 🙏
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://support-helpdesk.in/anum29kfew.",whatsapp,1,5,"scammer: hello, canara kyc desk here. your account will freeze today. 🙏 senior: i don't think banks message on whatsapp. scammer: we are on official whatsapp support. quick verification only. senior: ok what should i do? scammer: share otp and pan photo. or verify at URL"
"Scammer: FedEx: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: How much to pay?
Scammer: Pay ₹499 at https://track-parcel.in/vbu42jaubv and send screenshot.",whatsapp,1,4,scammer: fedex: your parcel is held at customs. senior: i didn't order anything. scammer: it might be a gift. clearance pending. senior: how much to pay? scammer: pay ₹499 at URL and send screenshot.
"Scammer: Airtel: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: I will use the official app.
Scammer: No time. Use https://gpay-help.in/68qc85wy6d to update within 2 hours.",whatsapp,1,4,scammer: airtel: sim deactivation today due to kyc pending. senior: but my sim is active. scammer: system check. update now. senior: i will use the official app. scammer: no time. use URL to update within 2 hours.
"Scammer: Microsoft Support: malware detected on your phone. 🙏
Senior: My phone is working fine.
Scammer: It will stop soon. Install TeamViewer so I can remove it.
Scammer: Download: https://support-helpdesk.in/7cgu2krqov
Senior: Ok, installed.
Scammer: Now share the 9-digit code shown on screen.",whatsapp,1,4,"scammer: microsoft support: malware detected on your phone. 🙏 senior: my phone is working fine. scammer: it will stop soon. install teamviewer so i can remove it. scammer: download: URL senior: ok, installed. scammer: now share the 9-digit code shown on screen."
"Scammer: Namaste, I'm from Cyber Crime Cell. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹7500 (refundable) to UPI mnowog@okicici.
Scammer: If you disconnect, FIR will be filed.",whatsapp,1,5,"scammer: namaste, i'm from cyber crime cell. your number is linked to a cyber fraud case. senior: what? i have done nothing. scammer: we have a complaint under your aadhaar. you must verify now. senior: how do i verify? scammer: stay on call. for verification, transfer ₹ OTP (refundable) to upi mnowog@okicici. scammer: if you disconnect, fir will be filed."
"Courier: DTDC: Your package is out for delivery today. Track: https://amazon.in/wtae9sqar3
Senior: Ok, I will be home.",whatsapp,0,1,"courier: dtdc: your package is out for delivery today. track: URL senior: ok, i will be home."
"Scammer: Pre-approved loan ₹9900 ready. No documents.
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹999 fee.
Scammer: Pay at https://cutt.ly/2T8G2Ui or UPI dbeopk@okhdfc.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",whatsapp,1,3,scammer: pre-approved loan ₹ OTP ready. no documents. senior: i did not apply. scammer: special scheme. activate by paying ₹999 fee. scammer: pay at URL or upi dbeopk@okhdfc. senior: i'll visit branch. scammer: offer ends today. online only.
"Bank: HDFC: Your statement is ready. View in official app or https://india-post.gov.in/h20rk2rit0
Senior: Ok thanks.",whatsapp,0,1,bank: hdfc: your statement is ready. view in official app or URL senior: ok thanks.
